baseline,scenario,attack_success_rate,cost_leakage_tokens,false_reject_rate,throttle_rate,latency_p50,latency_p95,raw_logs_path
B0_static,S1_key_leak,1.0,176.0,0.0,0.0,1.0,1.0,results/raw/B0_static__S1_key_leak.jsonl
B0_static,S2_token_leak,1.0,176.0,0.0,0.0,1.0,1.0,results/raw/B0_static__S2_token_leak.jsonl
B0_static,S3_replay,1.0,176.0,0.0,0.0,1.0,1.0,results/raw/B0_static__S3_replay.jsonl
B0_static,S4_burst,1.0,176.0,0.0,0.0,1.0,1.0,results/raw/B0_static__S4_burst.jsonl
B0_static,S5_slowdrip,1.0,176.0,0.0,0.0,1.0,1.0,results/raw/B0_static__S5_slowdrip.jsonl
B0_static,S6_drift,1.0,176.0,0.0,0.0,1.0,1.0,results/raw/B0_static__S6_drift.jsonl
B1_ip_allow,S1_key_leak,1.0,176.0,0.0,0.0,1.0,1.0,results/raw/B1_ip_allow__S1_key_leak.jsonl
B1_ip_allow,S2_token_leak,1.0,176.0,0.0,0.0,1.0,1.0,results/raw/B1_ip_allow__S2_token_leak.jsonl
B1_ip_allow,S3_replay,1.0,176.0,0.0,0.0,1.0,1.0,results/raw/B1_ip_allow__S3_replay.jsonl
B1_ip_allow,S4_burst,1.0,176.0,0.0,0.0,1.0,1.0,results/raw/B1_ip_allow__S4_burst.jsonl
B1_ip_allow,S5_slowdrip,1.0,176.0,0.0,0.0,1.0,1.0,results/raw/B1_ip_allow__S5_slowdrip.jsonl
B1_ip_allow,S6_drift,1.0,176.0,0.0,0.0,1.0,1.0,results/raw/B1_ip_allow__S6_drift.jsonl
B2_bearer_short,S1_key_leak,1.0,176.0,0.0,0.0,1.0,1.0,results/raw/B2_bearer_short__S1_key_leak.jsonl
B2_bearer_short,S2_token_leak,1.0,176.0,0.0,0.0,1.0,1.0,results/raw/B2_bearer_short__S2_token_leak.jsonl
B2_bearer_short,S3_replay,1.0,176.0,0.0,0.7333333333333333,1.0,1.0,results/raw/B2_bearer_short__S3_replay.jsonl
B2_bearer_short,S4_burst,1.0,176.0,0.0,0.0,1.0,1.0,results/raw/B2_bearer_short__S4_burst.jsonl
B2_bearer_short,S5_slowdrip,1.0,176.0,0.0,0.0,1.0,1.0,results/raw/B2_bearer_short__S5_slowdrip.jsonl
B2_bearer_short,S6_drift,1.0,176.0,0.0,0.0,1.0,1.0,results/raw/B2_bearer_short__S6_drift.jsonl
B3_pop_only,S1_key_leak,1.0,176.0,0.0,0.7333333333333333,1.0,1.0,results/raw/B3_pop_only__S1_key_leak.jsonl
B3_pop_only,S2_token_leak,1.0,176.0,0.0,0.5,1.0,1.0,results/raw/B3_pop_only__S2_token_leak.jsonl
B3_pop_only,S3_replay,0.45454545454545453,80.0,0.0,0.3333333333333333,1.0,3.0,results/raw/B3_pop_only__S3_replay.jsonl
B3_pop_only,S4_burst,1.0,176.0,0.0,0.7333333333333333,1.0,1.0,results/raw/B3_pop_only__S4_burst.jsonl
B3_pop_only,S5_slowdrip,1.0,176.0,0.0,0.0,1.0,1.0,results/raw/B3_pop_only__S5_slowdrip.jsonl
B3_pop_only,S6_drift,1.0,176.0,0.0,0.0,1.0,1.0,results/raw/B3_pop_only__S6_drift.jsonl
B4_full,S1_key_leak,1.0,176.0,0.0,0.7333333333333333,1.0,1.0,results/raw/B4_full__S1_key_leak.jsonl
B4_full,S2_token_leak,1.0,176.0,0.0,0.7333333333333333,1.0,1.0,results/raw/B4_full__S2_token_leak.jsonl
B4_full,S3_replay,0.0,0.0,0.0,0.0,1.0,3.0,results/raw/B4_full__S3_replay.jsonl
B4_full,S4_burst,1.0,176.0,0.0,0.7333333333333333,1.0,1.0,results/raw/B4_full__S4_burst.jsonl
B4_full,S5_slowdrip,1.0,176.0,0.0,0.36666666666666664,1.0,1.0,results/raw/B4_full__S5_slowdrip.jsonl
B4_full,S6_drift,1.0,176.0,0.0,0.7333333333333333,1.0,1.0,results/raw/B4_full__S6_drift.jsonl
